original	selected	orbit_size	selected_index	used_for_strict
OOXXOX-X-XXOXO-XX-OXOO--X-OXO-OXO--XXO-O-XOX---XOXXXOO-X-XO-X-O-	-O-OXX-OXXX---XOOXO-OOXX-XXXXXOXXO-XOOXO-O-O-OOXO---O----XXOX-XX	16	15	false
XO-X-XOXXX-XOOXXO-X--OXOXOOXOXXXO--OO-O-OXX--OXXX-OOOXXO-OX--O--	-XOOXOXXO-X-O-XOXOX-OX---O-OX-XX-O-OO-O-OXO-XOOX-XXOXXXO-OX-XOXX	16	15	false
XXOO--OX-OO-X-OXX-OOXOXOO-OXXXX-OOXXXX--XOOOXO-XXXXXXO--OX-XO---	XXOO--OX-OO-X-OXX-OOXOXOO-OXXXX-OOXXXX--XOOOXO-XXXXXXO--OX-XO---	16	1	false
OO-O--OOOX-OOOXX-O-O-OOX-X-XOOOOO--OOXXX-----XXOX-X---XXXXOO--O-	OO--O-XXOXOX---X------XOOOOXO--O-O-OO----OOOXX--OXOOXXXOOXXOXOX-	16	8	false
O---XOOXOOOX-XOX-OOXOX-OOXOXXX-OX-OOOX-OXOOXO---OXX-OO-OOX--XX--	XO--OO--XOO-XX-XOXXOX---O-XXXO-XXOXOOO-X-XXOXO-XXXXO-OXOX---OXXO	16	9	false
XO-OO-OOOOX-OOXOXOXOOOO-XOXXX-OOO-XXO-XXXXXX-XOXO-XXOX-X-OOXOO--	-XXXO-OO--OXOOXOOXX--OO-OO-OXOOOXXXXXO-OOXXXXXX-O-X-OOOO-OXOXXOX	16	13	false
XXOXXOXXOXX-O-OXXO----OO-OOXOXOOXXXOO-OOO-OX--XOOOOX----OXOXOO-O	OOXOOXOOOX-X-OOXXX----XOXXOXOXX-XX-XXOOOXO--OX-X----OXXXX-XXOXOX	16	9	false
OO-OXX-O-O-X-XXXOX-X------OOXO---OOOO-O--OXOXOOXX-OX-XOOOX---OO-	OX---XO--X--OOOOXX-O-OXOX--XOX--OXXOOOX----OOXO-OOX-OO-XO-O---XO	16	5	false
XOX-OOXOXOX--O-OOOX-OO-XXXOOXXXXXXXOX-OXXX-X-OOOOO-O-OXXXXXO-O--	XOXXXOXXXOXXXOOOX--XOXXXOOXOO------XXO-OOOO-XOOO-XOOX--X-XOXXXOO	16	5	false
-O-XXXOXOX--X--OXOO-O-OX-O-XOOOO---OOO------XOO-XO-OOOOXOO----X-	-O-XXXOXOX--X--OXOO-O-OX-O-XOOOO---OOO------XOO-XO-OOOOXOO----X-	16	5	false
XXOOO--O-XO--XX-OX-O-X-OOOOXOXXO-X-XO-OOO-X---XOX--O-OXOXX--XOX-	XXO-OO-XX--XOXXX--X-O-OO-O-XXO-OX--OO--OOO--XXX-XXXOX-X--OOOOO-O	16	0	false
O--XXOX-OXOX-OXO--X-XO-X-X-XOXOOXO-OXXOO-X-XOXXX--XO-OOOX-OOX-X-	-OXOOXO-XX-OOXOXOOOXXXO-X-XOXO-XXX-XOXOO-OX---XO-X-XOX--OO--X--X	16	14	false
XX-X---OX--OX--X-OXOO--XX-XOXXOO--OXXO-OXOO-O-OXOXOXXXO--OO-X---	X---O-OOO--OX--OO--XXOX-XXOOXO-OX-XOOX--OX-X-XXO-XOOOXOX---O-XX-	16	10	false
OOXOXOO------X-OXXXO-OOXXXOXOX-XX-OXOX-O-XOXXOO---XXO-OX-X--X---	-XXOXOXXX-O-----OXX-XOOOO-OXOXOOX-OXOX-O-XXOOXO-OX-XOO-----O--O-	16	0	false
-OX-O--XXX-X-XOOXOX-O-O-O-XOO-XO-OOOXOOO-OOX-OOOXXOOO-XXX-XO-X--	O--X-OX-XXO-O-OO-X-X-OXOXO-XXO-XXXXOXXX-XXX-OXX-OO-XXXOO--O-XO-O	16	2	false
OOOX-OOX--XXO-XO-OOOX--XXXOOX-XOX-OOO-X-OXXXOX-XXXXX--OX-OXO-O--	-XOXX--OOXX-XO-OXXXOOOXOOXXOOOXX--OOXXO-O-X----O-O-XX-XO-XX-OXOX	16	14	false
--OXO-XXOOOX-OXXXO---X--XXOXX-XXXXOXOOOO-OXOO-OX-XX---OOOX-O-O--	OX-O-O---XX---OO-OXOO-OXXXOXOOOOXXOXX-XXXO---X--OOOX-OXX--OXO-XX	16	14	false
--X----O-XOOXO-OO-OO-XO--XOOOO-OO-OXOXX-O-XO-X-O---OOXXXXOXX----	OXOO-------XXOOOX-OX-O-XX-XOXOO--OXXXX-XX-XX-OX--OXXOX-X--O----X	16	13	false
-OX-X-OXXOX-O--XXX-XXOOOX-XOXO-X-XOOXO-OOOOO-X-OXO--XOXXO--OX-O-	OOXOXXO-X-X---OX--XXXOX-OXOOO-OO--OXXX-XOO-OXX--XXO-OXX--OOO-XOX	16	14	false
-X-XX-X-XX-XOOXOXOOXOOOOXO-OXO-XOO-OX--XO-OX--XX---O-XXXOOX-O---	-XXXOO-OXXOOO--O--O--O-XXXXOOXO-XOOXX--O-OOO--X-XXO--XX--OOXXXX-	16	13	false
XXOXXXO-XO-OOXXX-----X-XXXXXO-OOXO-XO--OOXXOOXXX-XO-XO--XO-XO---	-XOOOXOOOOOXX-XOO-O-----XX-XOOOOX--XO-XOOOOXXOOX--XO-XO----XO-XO	16	10	false
-OO---OXO---O-OOOO-X-XO---OXOX-O-O-XOOXOXOX--OX-X---X-XOXXOOOX--	-XX--OOOX-X-XX-OX--X-O-X--OOO--X-X-XX-OX--OOXX-OXXX-OOO-OX-XX-X-	16	8	false
O--OO-OOXOX--XXOO-OOO-X--OOXO-XX--OXXX-O-OO-O--O-XO--OOOXX-O-X--	X----OXOXXO-O-O--OOOOOX-O--XXO-O--OXOO-OXO-X--X--O--XXXO-OOOX-OO	16	6	false
XXX-OX-XO--XX--X-OO-O--OXXXOOO-XXOOXOO-XXX-X-OOX-XXXXXXOXXX-X-O-	X-XXX-OXXXXOXO-XXX-OXO-X-XXXO-X-XX-OOOXO-XOOO--XOXO------OXXXOXX	16	13	false
O-X-OXXOX-OXOO-XOXO---XXOOOXXXO-OX-XXOOOXOXXX-XXOXOXOXOOXO-O--O-	-O--O-OXOOXOXOXOXX-XXXOXOOOXX-XO-OXXXOOOXX---OXOX-OOXO-XOXXO-X-O	16	2	false
X-----O--X-OXO-X---O-X--XXOXOOOO--XOOX-OXX-X-O-XO---XXXXXXOXOX--	OOXOXO--X---OOOOOO-O-X-O--OXXO-XOOXOXXXX---X-O---O-XOX-OO-----X-	16	9	false
OX-X-XXX----OX-XOOX---O--OOOOO-OX-XXXOOOXOO--XX-OXO-XO-XXOOOOX--	XOXX-O-OOXO-OO-XOOOXOX--O--XO--XOX-XO-O-XOXOO-XX--XO-O-X-X-OO-XX	16	14	false
OXXOXXOX--X-XO--XOOXXX-OXX-OO-O-OOXXXOOXOXOXX--XO-XOO-OOOOO-OX--	OOO-OX--O-XOO-OOOXOXX--XOOXXXOOXXX-OO-O-XOOXXX-O--X-XO--OXXOXXOX	16	13	false
OXOOOXO-XO-OO-XOXOOOX-OXX-OOO-XOX--XOOXO-OOOOO-XOXOXO-XO-OX-O-X-	-OXOOOXOOX-OO-OXXO-XOOOXOX-OOO-XOXOOX--XX-OOOOO-OX-OXOXO-X-O-XO-	16	3	false
OX-O-XX-OX-XOOXO--XXOXX-XOXOX-XX-O-OOOOXOX-X-X-XXXX-O-OXXXX--O--	OOX-O-XXOOOXX-OOOO--OO----OXXOOX-X-XOXX-X-OX-OXO-X-XOOOO-OOOO-X-	16	8	false
-OO---XOXOXOO-OO-O-O-OOOX-XOOOXX--OXOO--OX-O-OOOOOXOO--XXX---X--	-X-X-OOXOOO--XOXOX-XO-X--OOOXOO--O-OO-O---OOOO-XXOOX-O--OOOX-OX-	16	8	false
-O-OO---XXOOOO-X--X-OXXX-XOXOXXX-OOXOO-XO-OXXX-OXXXOO-XXXO--X---	---OO-O-X-OOOOXXXXXO-X--XXXOXOX-X-OOXOO-O-XXXO-OXX-OOXXX---X--OX	16	14	false
OOOOXO-O-OO--OOXO-X---XXO-OOOOXOOO-XOXO-OXOXXX-O-XXO--OX-O-XXX--	OOOOXO-O-OO--OOXO-X---XXO-OOOOXOOO-XOXO-OXOXXX-O-XXO--OX-O-XXX--	16	7	false
O--OO-XOX-XXO-OOXOO-XXXXOX-OO-XX-XOXXO-XOOO-OO-XXO-OO-OO-XXO-XO-	-OXXXXOOOO--XXOXX-OO-X---OOXOXOOOO-XO-XOX-OO-OX-XOOXXO---XO-OXXO	16	10	false
X-XOX--OXOXOXXXXXX--OXOXOO-OO-O-OOXXXXO-XO-OXX-O-OXX--OOOXO-X-X-	O-XOOXXXXOOOOXO-OX-X--XX-XOXO-OOX-XXOOXX--XX-XX-XO-OOOX--OO--XXO	16	8	false
OOXXO-O-XOOO-XOO-O-XXXO--O-XOX-OXOOXXOXXXXOXX---XX-OO-X--XX-O---	XXOOX-X-OXXX-OXX-X-OOOX--X-OXO-XOXXOOXOOOOXOO---OO-XX-O--OO-X---	16	6	false
OOX-OOOXOXX---XXXO-XX-----OOXXXOXOOXOXX--XO-XXXOO-XXOOOXOOXXX-O-	OXXX-OXXOO---OOX---OO-XOXOOOXX---OOXOXXOXOOO-XO-OXXXOO-X-X-OOOXX	16	12	false
XXXXO-O-XX--OX-O-O--X--OO-OXO--XO--XOOOXOOO-X-OXOO-OXX-XOXX-OO--	OOOOX-X-OO--XO-X-X--O--XX-XOX--OX--OXXXOXXX-O-XOXX-XOO-OXOO-XX--	16	7	false
O--O-XOXOOXOOOO---X--XOO-XXOO-OXOXXOXO--XO-XOXXX--OO---OXX-XXX--	--XXX-XXO---OO--XXXOX-OX--OXOXXOXO-OOXX-OOX--X---OOOOXOOXOX-O--O	16	3	false
OXOXOXXOX--X-XOX-OXXX---OXOXXXOX-OOXXO-OOX-OX-OXXX-----OX--OXOX-	OXOXOXXOX--X-XOX-OXXX---OXOXXXOX-OOXXO-OOX-OX-OXXX-----OX--OXOX-	16	5	false
XO----OO----OOO-O---O-O-X-XXXX---O-OOOXXXXXO-O-OXOOOX-OOX-OOOO--	O---XOO-OOO-X-O--O-XOO-O-OOXO-XO---XOOOO---X-XOOO---OXO-X-OX-XXX	16	15	false
OX-X-X-XOOXOXOXX-XO-OXXOO-XOO--OOX-XOX-OXOOX--XX-XOXXOOXO-OOX--O	O-OOX--O-XOXXOOXXOOX--XXOX-XOX-OO-XOO--O-XO-OXXOOOXOXOXXOX-X-X-X	16	12	false
XOXX-X-----X-OO-XX--XXOO-XOXXO-OX--XO-OO-OX-X--XOX-O-OOX-XOXO---	OXOO-O-----O-XX-OO--OOXX-OXOOX-XO--OX-XX-XO-O--OXO-X-XXO-OXOX---	16	4	false
O---XOO-XXO-X-OX-XXOX--OXXOXOOOX-OOXO--OOOO-X-O--X--XO-XOOXXO---	-XXO---XOX-O-XOOX--OXOO-OXXXOXOOX--XOXX--X-O-XXXO-XO--O----XOOXX	16	15	false
O--X-OXX-OO--X-XO--XX-XO---XXX-OOXOXXO-XXXO---XX---X-XXOOXXX-O--	O-O-OX-O-O--XX-X-O--OO-XX-XXX-XX--XXX---OX-XO-XOX-X--XX-XXOOXXO-	16	7	false
OO-OOXOOX---XO--OX---XOXOXOOXOXO-XXXOX-OX-OXXOO-X---OO-OOXO-X--X	XXOXX-XX--XO---OOXO---OXXOXOXXOXX-OXOOO--XXOOX-OX-XX---OO--O-XOX	16	12	false
OXX--XXOXO----OO-X-XX--OX-XXO---OXOXO-X--XXOXXXXXX-O-O-OXOXX--XX	OXO--XXXO-OO--XO-XO----O--OXXO--OXXOOO--O-OXO--OXOOO-OXOOO-XO-OX	16	10	false
OX---X----X-XXOXXOOO--OXOOOOXXO-XX-OO-OXXXO-OX-XO--O---XXXXXO---	---OXXXXX---O--OX-XO-OXXXO-OO-XX-OXXOOOOXO--OOOXXOXX-X----X---XO	16	8	false
OXO-X-OO--XO---X-O--O--XOOXOOOOO-XOOOOX--OOX-O-X---OX--OXOOO-X--	OXO-X-OO--XO---X-O--O--XOOXOOOOO-XOOOOX--OOX-O-X---OX--OXOOO-X--	16	4	false
OOXX-O-XX-O-XOOOOOOXXX-X-OOXX-XOXX-OXOX-OX-OX-XX-X-O-OXXOOXO----	----OXOOXXO-O-X-XX-XO-XO-XOXO-XXOX-XXOO-X-XXXOOOOOOX-O-XX-O-XXOO	16	6	false
O-XO-XXXXX-OOXOXXO-OXXO--O-OO-OO-OOXO--OXXXX-O-X-OXOO-XOX-O-XOO-	OXX--X-X-XOOOXO-X---OXXOOOOOXXO--OXOO-OXXXX--O-OXOOO--XOXX-OOXO-	16	4	false
OXO-XOXO--OXXO-OOXXO-XOXXXXOX-O-O--OXOXO--XOOXXOX-XXOXO-OXXXX--X	OXXXX--XX-XXOXO---XOOXXOO--OXOXOXXXOX-O-OXXO-XOX--OXXO-OOXO-XOXO	16	6	false
XOXO-OX--OX-XOXOX-OX-OOXX--OOXOOX--XXO-OXOOO-X--XOOX-XXX-XO---O-	-O-XXOX-XO--XXOO-OOXOXXX---OX-O--OXOXO-XXXX--XOOOXX---XX-OOOOO-O	16	1	false
XOXXO-OXOX------XXO-X--OXO-OOXOXXOOXX-XO-OX-X--X-XXOXO-XXX--OO--	OO--XX---OOXOX-O-XO-O--OOXXOO-OXOX-XXOXOOOX-O--XXO------OXOOX-XO	16	8	false
XOX----O-X-O-XO-XOOO--OO--XOOOX-OXXOOXOO-XOXOXXO-X-X-XOOOX---OO-	X----OXO-XO-X-O-XX--XXXO-OXXXO--XXOXXOOXXOOXOXO-XXO-O-O--XX---OX	16	11	false
X--OXX-OOOO-XXX-XXX-O--XOO-OXXO--XXXXXOOX-X-XXOO--OOX--XX--O-XO-	X--OXX-OOOO-XXX-XXX-O--XOO-OXXO--XXXXXOOX-X-XXOO--OOX--XX--O-XO-	16	3	false
OXXOO--OO---O-XX-XO-XO-O--XOO-XX-XOXO--OOX--O---XX-OO-OX-XXOOX--	-OX---XXOOOO-O-OO--XOX-OXX-OX--XXXXXXOXXO----X---X--O-O--O-XOXOX	16	14	false
OOX---XXXX-OX--XOOX-XXX---XXO--OXXOXOXOX-O-OXXOXXXOOXXXXOXX-O-X-	XXO---OOOO-XO--OXXO-OOO---OOX--XOOXOXOXO-X-XOOXOOOXXOOOOXOO-X-O-	16	3	false
OXXXX-XOXX--OOXOXOXOOOXOXX-XXO-XXO-XOXXXOOX-OO---OO-XXO--XOOO---	---OOXXX-X-O-OOO-OXOXXX-XOXXOXXOX--OOX-OXXO--O-OOXXXOXOO--XOOOOX	16	14	false
OXOX---XX-OO-XX-XXXO-OXX-OOXOX-X--OXOXXXXO--X--XOOXX-XO--XXOO---	O-OOOO---OO-O-X--OXOO-O----XXO-XOXXOO-OXXXOXX-OOO-OX-XXOXOO--OX-	16	8	false
O---OOOX--OO-O-OX-OXOO--OOXXOOOOXOXOXOOXO-XO-OXOOOOXO--OX-XXO-X-	-X-OXX-XO--OXOOOOXO-OX-OXOOXOXOXOOOOXXOO--OOXO-XO-O-OO--XOOO---O	16	0	false
X-OO--XXX-X-X-OOOX-OXO-XOO-OX-O-OX-OOO--XOXXOX---O-OOOXXOX--X--X	OO---OXO-O--X-XO-XOX-X--OXXXOOO--XOXXX-X--O---OXOXXOXO--X-OXXXOO	16	5	false
X-OO-OOOOOOXX--OO-X--X-O-XXOO-X--XOOOOX-X-XXX-XXOOXOOO-X-XXOX-O-	-XX--OOOO-XXX--O-O-O-X-OXOXOO-X-OOXOO-XOXXXOXXOOXO-XX-O--OX--OOX	16	13	false
XXOOOOOXO-X-XO-OXXO---XOO-OXX-OOXOOXO-X--OOX-O-XOX-X-O-XO-XOXX--	XOOO-XX-O-XOX---OO---OOXOX-XO--XO--XXXXOOXOOOO-XX-X-OOX-XOXOX-OO	16	2	false
O--XX---OX-X--OXXO----O-X--OOOO-OOOOX-XX-XOXO-O-X-XOXXXXXXXX----	X--OO---XO-O--XOOX----X-O--XXXX-XXXXO-OO-OXOX-X-O-OXOOOOOOOO----	16	0	false
XXO-X-XXOO--OXOXX------OO-OOOOOX-OXXO-X--XXOO-OX--XXO--XXO-OX-O-	OOX-O-OOXX--XOXOO------XX-XXXXXO-XOOX-O--OOXX-XO--OOX--OOX-XO-X-	16	6	false
O--X-O-OX---OOOXOO--OOX-XO-XXOXOOOOOXXOO-OOX-OXXXOOX-X-OO---XXX-	-OOO---XX-O-OXXOOOX-OXX-XXOOXXXXXOXOO-XO-OXX--XXOXXX---OX-X-O--X	16	11	false
-XO-OOXO-XXXXXX-OXOXXXXOXOOXXXXXXO-OO--OXOXOOO-X-OO-OXXO-X-X-X--	-XOXOX-X-O--OOOOOOX-OOOX-XXXOOOXO-XXOOO--XO-XXOXOXXXXOOO--OOOX--	16	5	false
X-X-XOOXX-O-X----OOOOOOOOX-XOXXOOXOOOOX-XOXXX--OX--XX-O-OXXOO---	--X-XX-O-X-OOX-X---XOX-XXOOXXXOOXOOXOX--O-OX-XXOO-XOOX--XOOXX-OO	16	3	false
O-OXO-OXX--O-OXOO-X---XOOOOOOX-OO--OXOO-XX-XXOO-XX----OXOOOOO--O	X-XOX-XOO--X-XOXX-O---OXXXXXXO-XX--XOXX-OO-OOXX-OO----XOXXXXX--X	16	12	false
O-OOOOOX-X-XXX--XX-X-OO-X-XOO-O-OOXOXXXX-XXX-XOOO-OOOXOX-OX-O---	X---XOX-O-OOXOO-OXO-XXX-OX-OX-OOOXXOOXO-O--XXXOX-XX-OX-OO-XXO-O-	16	3	false
XOO--O-OXXOXXO--X-XXX-XOO-XOXOO--OXOO-XO-OOO--OX--X-X-OXX-OX-XX-	XXXO---XOX--OO--OOXXXOXO-XXOOO-X-XXXO-X-OO-O---X--XOXOOXO-O-OXX-	16	7	false
O-XO-O-OXX-OO-X-OOX-XXXXX-OOXOOXOOXXOOXOXX--XXOX----OXXXO-X-XOO-	-OOX-X-OXXXO----XOXX--XXOXOOXXOOXOOXOO-XXXXX-XOO-X-OO-XXO-O-OX-O	16	3	false
-O-XXXOX-OXOXOO-OXXOXOX-XOOXX-OXX-XOO-OOXXO-OXOOXXOOOOOOXO-OOX--	OX-XXO--OOXXXXXXOOX-XOXXO-OXX-XXOXXOO-XOXOOXOXO--XOXOXX--X-OOOXO	16	9	true
XXXO--XX-X-OX-OO-OOOOO-OX-OOXOO-XXXXO-XO--X-XX-XO-O----XXOX---O-	OXX-XOO-OX-XO--X--XX-O---OXOXO--XXXXO---O-XXOOXOOOX-O--XO--OO-XO	16	5	false
OX-XXXXOOXX--XXO-OO-XOXOOXOXOO-XX-OOO-XX--O-OXX-X-XO--OOXXXO--OX	XOOOO-OXXOO--OOXXOXO-XX-O-XXOXOXOO-XXX-O-OOX-X--XX--XO-OOX--XOOO	16	2	false
OOXO-X-O-OXO--X-XOX-X--XOO-XXOO-OXOXOOXOX-X-O-O-X-OX---X-XOO--X-	X-OXXOO-XXXXO--OOOO-XOXXXX-OO-OX--OOXX--O--XX----O-XOX-OX-O-X-O-	16	1	false
XOO-OOXX-XOXXOXO-OOO--OXOXOOXO-O-OOXO---OX-OXXO-XOO-X-XOOO-O--X-	O--X-XOXXOXOXOXXXXXXX-X--OXXOX-XXO-OXOO-XX-X-O--OOX--XOOOXOX--X-	16	7	false
OXXX-OOXXXXXOOXOO---OXOXXX-OOOOX-XXXO-OX-OXXOOXO-OOXO-O-OO-XXX--	--OXXXOX-OXOOOXOX-O-OXOOXOOOOOO-XXXXO-XX-OXX--XXOOOXX-XXO---XOXO	16	7	false
O-XXXX----XO--X-X-O-XXXOX-XOOO-----XOOXXXXXOO---XX--OX-O-OX--O--	-XO--X--OO--XO-XOOOXX------OXXOOO-OXXX--O-X-OOOX--OX--O-X-OOOO--	16	0	false
-XX-XXOO--X-XX--XO-O-O-OOXXXOOXXXXOOXX--X-X-X-XXOOXXX-OXXOX--X--	XOX--X--OOXXX-OXX-X-X-XXXXOOXX--OXXXOOXXXO-O-O-O--X-XX---XX-XXOO	16	7	false
X-X-XO-O-----OOO-XX--OXX---OXO--O-OOOXX-XOOOXOOXX-XXXOOX--XO----	-XX--XOO-OOX-XO--OOXOOOO-XXOX--XOXOOO---XXOO-X-X--O--X---XXO---X	16	12	false
OOOO-X----OOO-OXO-X--X-O-XXOX--XX--OOOXXX---OXO-O--XXX--X-XO----	OOOO-X----OOO-OXO-X--X-O-XXOX--XX--OOOXXX---OXO-O--XXX--X-XO----	16	2	false
XOOO--XO-X-XX--XXX-XX--OOX-XXXX-O-OXO--XXXOX--X-OX-XXOXXXOX-OX-O	XOOO--XO-X-XX--XXX-XX--OOX-XXXX-O-OXO--XXXOX--X-OX-XXOXXXOX-OX-O	16	1	false
-OOXXX--OX-O-O--XX-OXOOX-XOOXX-X-XXXX-OXX--OX-OXOXXX---X--OO-O--	--X-XX--O---OOOXOX-OX--OOX-OOOO-O-OOXXO-OXXOX-OO--X-X-OX--OOOXX-	16	14	false
O-OOX--OXOOOO-OXX-XO-XXOXO-OOO-XOXOOX-XX-O--OOOOO-O--OXXXOOOX---	XO-OXXXOO-OXO-O-OO-O-XOOO--OOOOOX-OXO-OX-OO-OX---XOX-XO--XOXXOXO	16	6	false
O--O-OXOX-OOOX----XXX--XXOXXXXOOXOOXXO-OOO-OO--OXOX-OXXOXOX---X-	XOX---X-XOX-OXXOOO-OO--OXOOXXO-OXOXXXXOO--XXX--XX-OOOX--O--O-OXO	16	5	false
-XX--XOOXOX--O--OOXOX-OXOOOOOX---OOXO---OXOX--XOOOOOO-OXO-XX--X-	O-XX--X-OOOOO-OXOXOX--XO-OOXO---OOOOOX--OOXOX-OXXOX--O---XX--XOO	16	5	false
XX----XO-XOO-O-O-O--XO-OXXOXOXOOO-XOOO-XX-O-XOO-O-OXOX-O-XX-----	-OXOX--XX---XOXXXOOXO-O--X-OX-O--OXOOX---XOOXOO---O-O--X-O-XOOOO	16	4	false
-X-X--XXOXX--OXOO-X--OO-O--OX-XOOOOXOOXX---X--XXX-XX-OXX-OXX--O-	OX-XOOO-OOXOOOOX-XX-X-X----OX---O--XOOOO-OO-X-OOOO--X--X-XXXX-O-	16	5	false
OXOOO--X--XOX----X-X-OXXOXOOOXXX-XOXOXXXXX---O-O-XX-O--XO-O-O-X-	X--OOOXO---XOX--XXO-X-X-XXXOOOXOXXXOXOX-O-O---XXX--O-XX--X-O-O-O	16	0	false
XO-X-X---XX-X-X--O---X-X--XOO-O-XXXOX-O-XOXOX-O-O--OX--XO-O-----	OOXX---X--OX-OXOO-XXX-X--OOOO--X-XXXO-X------X-X--OOO-X--X---X--	16	7	false
XOO-X--OXX-OOOOXX--OXOXX---OX-XX-O-XOOOXOX--XXXO--O-OXOXXOOXXOX-	OOO--X-OXO--XO-XX-----XX-XXXO--OOXOOXOXO-XX-XOOX-XOOXOXOXOOOOXO-	16	3	false
OX-XOOX--XOXO--OX------XOOXOX-O---XOOOOX-XXO-OOX--O-XO-XX--XXO--	O---XO-X--O-X-OO-XOOO-X-O-XXX-OOOO-XO-XXXXXX---X--XXX--O-OOO-OX-	16	8	false
